stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\Alves\Documents\pds1-2025.2-main\Project1\x64\Debug\allegro5.cfg r
system   D            wsystem.c:836  maybe_parent_dir                 [   0.00000] Also searching C:\Users\Alves\Documents\pds1-2025.2-main\Project1\x64\
system   D            wsystem.c:891  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\WINDOWS\system32\shcore.dll
system   D            wsystem.c:797  load_library_at_path             [   0.00000] Calling LoadLibrary C:\WINDOWS\system32\shcore.dll
system   I            wsystem.c:800  load_library_at_path             [   0.00000] Loaded C:\WINDOWS\system32\shcore.dll
system   I             system.c:272  al_install_system                [   0.00000] Allegro version: 5.2.10
dtor     D               dtor.c:196  _al_register_destructor          [   0.00227] added dtor for timer 0000014F0A96DA40, func 00007FF809931050
dtor     D               dtor.c:196  _al_register_destructor          [   0.00242] added dtor for queue 0000014F0A982400, func 00007FF809931C53
system   D            wsystem.c:836  maybe_parent_dir                 [   0.00262] Also searching C:\Users\Alves\Documents\pds1-2025.2-main\Project1\x64\
system   D            wsystem.c:891  _al_win_safe_load_library        [   0.00282] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:797  load_library_at_path             [   0.00287] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:800  load_library_at_path             [   0.00424] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:679  d3d_init_display                 [   0.02400] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1780 d3d_create_display_locked        [   0.02466] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1781 d3d_create_display_locked        [   0.02470] al_display=0000014F0C409FE0
d3d      D         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.02472] al_display->vt=0000014F0AA416C0
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.03395] found 288 format combinations
display  D   display_settings.c:214  debug_display_settings           [   0.03402] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.03406] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.03408] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.03411] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.03413] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03415] Score is : 785
display  D   display_settings.c:214  debug_display_settings           [   0.03417] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.03419] Score is : 793
display  D   display_settings.c:214  debug_display_settings           [   0.03422] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
